Struthio camelus,Ostrich,TC000001
Dryoscopus pringlii,Pringle's Puffback,TC007053
Dryoscopus cubla,Black-backed Puffback,TC007054
Dryoscopus senegalensis,Red-eyed Puffback,TC007055
Dryoscopus angolensis,Pink-footed Puffback,TC007056
Dryoscopus sabini,Large-billed Puffback,TC007057
Tchagra minutus,Marsh Tchagra,TC007058
Tchagra senegalus,Black-crowned Tchagra,TC007059
Tchagra australis,Brown-crowned Tchagra,TC007060
Tchagra jamesi,Three-streaked Tchagra,TC007061
Tchagra tchagra,Southern Tchagra,TC007062
Laniarius ruficeps,Red-naped Bushshrike,TC007064
Laniarius erlangeri,Somali Boubou,TC007065
Laniarius luehderi,Luehder's Bushshrike,TC007066
Laniarius brauni,Braun's Bushshrike,TC007067
Laniarius amboimensis,Gabela Bushshrike,TC007068
Laniarius turatii,Turati's Boubou,TC007069
Laniarius aethiopicus,Tropical Boubou,TC007070
Laniarius sublacteus,Zanzibar Boubou,TC007071
Laniarius bicolor,Gabon Boubou,TC007072
Laniarius ferrugineus,Southern Boubou,TC007073
Laniarius barbarus,Common Gonolek,TC007074
Laniarius erythrogaster,Black-headed Gonolek,TC007075
Laniarius atrococcineus,Crimson-breasted Gonolek,TC007076
Laniarius mufumbiri,Papyrus Gonolek,TC007077
Laniarius atroflavus,Yellow-breasted Boubou,TC007078
Laniarius funebris,Slate-colored Boubou,TC007079
Laniarius leucorhynchus,Sooty Boubou,TC007080
Laniarius willardi,Willard's Sooty Boubou,TC007081
Laniarius poensis,Mountain Sooty Boubou,TC007082
Laniarius fuelleborni,Fuelleborn's Boubou,TC007083
Rhodophoneus cruentus,Rosy-patched Bushshrike,TC007084
Telophorus zeylonus,Bokmakierie,TC007085
Telophorus bocagei,Gray-green Bushshrike,TC007086
Telophorus sulfureopectus,Sulphur-breasted Bushshrike,TC007087
Telophorus olivaceus,Olive Bushshrike,TC007088
Telophorus multicolor,Many-colored Bushshrike,TC007089
Telophorus nigrifrons,Black-fronted Bushshrike,TC007090
Telophorus kupeensis,Mt. Kupe Bushshrike,TC007091
Telophorus viridis,Four-colored Bushshrike,TC007092
Telophorus dohertyi,Doherty's Bushshrike,TC007093
Malaconotus cruentus,Fiery-breasted Bushshrike,TC007094
Malaconotus lagdeni,Lagden's Bushshrike,TC007095
Malaconotus gladiator,Green-breasted Bushshrike,TC007096
Malaconotus blanchoti,Gray-headed Bushshrike,TC007097
Malaconotus monteiri,Monteiro's Bushshrike,TC007098
Malaconotus alius,Uluguru Bushshrike,TC007099
Machaerirhynchus nigripectus,Black-breasted Boatbill,TC007100
Machaerirhynchus flaviventer,Yellow-breasted Boatbill,TC007101
Artamus fuscus,Ashy Woodswallow,TC007123
Artamus mentalis,Fiji Woodswallow,TC007124
Artamus monachus,Ivory-backed Woodswallow,TC007125
Artamus maximus,Great Woodswallow,TC007126
Artamus leucorynchus,White-breasted Woodswallow,TC007127
Artamus insignis,Bismarck Woodswallow,TC007128
Artamus personatus,Masked Woodswallow,TC007129
Artamus superciliosus,White-browed Woodswallow,TC007130
Artamus cinereus,Black-faced Woodswallow,TC007131
Artamus cyanopterus,Dusky Woodswallow,TC007134
Artamus minor,Little Woodswallow,TC007135
Peltops montanus,Mountain Peltops,TC007137
Peltops blainvillii,Lowland Peltops,TC007138
Cracticus mentalis,Black-backed Butcherbird,TC007139
Cracticus torquatus,Gray Butcherbird,TC007140
Cracticus argenteus,Silver-backed Butcherbird,TC007141
Cracticus cassicus,Hooded Butcherbird,TC007142
Cracticus louisiadensis,Tagula Butcherbird,TC007143
Cracticus nigrogularis,Pied Butcherbird,TC007144
Cracticus quoyi,Black Butcherbird,TC007145
Gymnorhina tibicen,Australasian Magpie,TC007146
Strepera graculina,Pied Currawong,TC007154
Strepera fuliginosa,Black Currawong,TC007155
Strepera versicolor,Gray Currawong,TC007156
Pityriasis gymnocephala,Bornean Bristlehead,TC007162
Aegithina tiphia,Common Iora,TC007163
Aegithina nigrolutea,White-tailed Iora,TC007164
Aegithina viridissima,Green Iora,TC007165
Aegithina lafresnayei,Great Iora,TC007166
Pericrocotus erythropygius,White-bellied Minivet,TC007244
Pericrocotus igneus,Fiery Minivet,TC007242
Pericrocotus cinnamomeus,Small Minivet,TC007240
Pericrocotus solaris,Gray-chinned Minivet,TC007249
Pericrocotus miniatus,Sunda Minivet,TC007247
Pericrocotus brevirostris,Short-billed Minivet,TC007246
Pericrocotus lansbergei,Flores Minivet,TC007243
Pericrocotus ethologus,Long-tailed Minivet,TC007245
Pericrocotus flammeus,Orange Minivet,TC012751
Pericrocotus speciosus,Scarlet Minivet,TC007248
Pericrocotus tegimae,Ryukyu Minivet,TC007241
Pericrocotus divaricatus,Ashy Minivet,TC007239
Pericrocotus cantonensis,Brown-rumped Minivet,TC007238
Pericrocotus roseus,Rosy Minivet,TC007237
Coracina cinerea,Ashy Cuckooshrike,TC007193
Coracina graueri,Grauer's Cuckooshrike,TC007192
Coracina caesia,Gray Cuckooshrike,TC007191
Coracina pectoralis,White-breasted Cuckooshrike,TC007189
Coracina caeruleogrisea,Stout-billed Cuckooshrike,TC007175
Coracina longicauda,Hooded Cuckooshrike,TC007185
Coracina bicolor,Pied Cuckooshrike,TC007177
Coracina temminckii,Cerulean Cuckooshrike,TC007180
Coracina maxima,Ground Cuckooshrike,TC007167
Coracina lineata,Barred Cuckooshrike,TC007181
Coracina boyeri,Boyer's Cuckooshrike,TC007182
Coracina novaehollandiae,Black-faced Cuckooshrike,TC007174
Coracina welchmani,North Melanesian Cuckooshrike,TC012630
Coracina papuensis,White-bellied Cuckooshrike,TC007184
Coracina atriceps,Moluccan Cuckooshrike,TC007178
Coracina ingens,Manus Cuckooshrike,TC012875
Coracina caledonica,South Melanesian Cuckooshrike,TC007173
Coracina macei,Large Cuckooshrike,TC007168
Coracina striata,Bar-bellied Cuckooshrike,TC007176
Coracina dobsoni,Andaman Cuckooshrike,TC012224
Coracina larvata,Sunda Cuckooshrike,TC007169
Coracina javensis,Javan Cuckooshrike,TC007170
Coracina personata,Wallacean Cuckooshrike,TC007172
Coracina fortis,Buru Cuckooshrike,TC007179
Coracina leucopygia,White-rumped Cuckooshrike,TC007183
Coracina schistacea,Slaty Cuckooshrike,TC007171
Lobotos lobatus,Ghana Cuckooshrike,TC007235
Lobotos oriolinus,Oriole Cuckooshrike,TC007236
Campephaga flava,Black Cuckooshrike,TC007232
Campephaga petiti,Petit's Cuckooshrike,TC007231
Campephaga phoenicea,Red-shouldered Cuckooshrike,TC007233
Campephaga quiscalina,Purple-throated Cuckooshrike,TC007234
Campochaera sloetii,Golden Cuckooshrike,TC007216
Malindangia mcgregori,McGregor's Cuckooshrike,TC007209
Lalage maculosa,Polynesian Triller,TC007228
Lalage sharpei,Samoan Triller,TC007227
Lalage leucopyga,Long-tailed Triller,TC007229
Lalage sueurii,White-shouldered Triller,TC007220
Lalage tricolor,White-winged Triller,TC007222
Lalage atrovirens,Black-browed Triller,TC007226
Lalage moesta,White-browed Triller,TC007224
Lalage leucomela,Varied Triller,TC007225
Lalage conjuncta,Mussau Triller,TC012863
Lalage melanoleuca,Black-and-white Triller,TC007217
Lalage leucopygialis,White-rumped Triller,TC007219
Lalage nigra,Pied Triller,TC007218
Lalage aurea,Rufous-bellied Triller,TC007223
Lalage newtoni,Reunion Cuckooshrike,TC007195
Lalage typica,Mauritius Cuckooshrike,TC007194
Lalage melaschistos,Black-winged Cuckooshrike,TC007212
Lalage melanoptera,Black-headed Cuckooshrike,TC007214
Lalage fimbriata,Lesser Cuckooshrike,TC007213
Lalage polioptera,Indochinese Cuckooshrike,TC007210
Celebesia abbotti,Pygmy Cuckooshrike,TC007187
Celebesia parvula,Halmahera Cuckooshrike,TC007186
Cyanograucalus azureus,Blue Cuckooshrike,TC007190
Analisoma analis,New Caledonian Cuckooshrike,TC007188
Analisoma coerulescens,Blackish Cuckooshrike,TC007197
Analisoma ostenta,White-winged Cuckooshrike,TC007211
Edolisoma montanum,Black-bellied Cicadabird,TC007207
Edolisoma ceramense,Pale Cicadabird,TC007203
Edolisoma dispar,Kai Cicadabird,TC007200
Edolisoma dohertyi,Pale-shouldered Cicadabird,TC007198
Edolisoma mindanense,Black-bibbed Cuckooshrike,TC007201
Edolisoma admiralitatis,Manus Cicadabird,TC013087
Edolisoma salomonis,Makira Cicadabird,TC012371
Edolisoma holopolium,Solomons Cuckooshrike,TC007208
Edolisoma incertum,Papuan Cicadabird,TC007204
Edolisoma morio,Sulawesi Cicadabird,TC007202
Edolisoma sula,Sula Cicadabird,TC007199
Edolisoma tenuirostre,Common Cicadabird,TC007196
Edolisoma schisticeps,Gray-headed Cicadabird,TC007205
Edolisoma melan,Black Cicadabird,TC007206
Daphoenositta miranda,Black Sittella,TC007253
Daphoenositta chrysoptera,Varied Sittella,TC007254
Eulacestoma nigropectus,Wattled Ploughbill,TC007322
Falcunculus frontatus,Crested Shrike-tit,TC007264
Colluricincla ferruginea,Rusty Pitohui,TC007318
Colluricincla incerta,White-bellied Pitohui,TC007317
Colluricincla megarhyncha,Rufous Shrike-Thrush,TC007308
Colluricincla umbrina,Sooty Shrike-Thrush,TC007307
Colluricincla woodwardi,Sandstone Shrike-Thrush,TC007313
Colluricincla harmonica,Gray Shrike-Thrush,TC007314
Colluricincla boweri,Bower's Shrike-Thrush,TC007312
Melanorectes nigrescens,Black Pitohui,TC007321
Coracornis sanghirensis,Sangihe Whistler,TC007311
Coracornis raveni,Maroon-backed Whistler,TC007271
Pachycephala olivacea,Olive Whistler,TC007273
Pachycephala rufogularis,Red-lored Whistler,TC007274
Pachycephala inornata,Gilbert's Whistler,TC007275
Pachycephala nudigula,Bare-throated Whistler,TC007297
Pachycephala orpheus,Fawn-breasted Whistler,TC007287
Pachycephala schlegelii,Regent Whistler,TC007296
Pachycephala caledonica,New Caledonian Whistler,TC007293
Pachycephala meyeri,Vogelkop Whistler,TC007284
Pachycephala soror,Sclater's Whistler,TC007290
Pachycephala vitiensis,White-throated Whistler,TC013209
Pachycephala graeffii,Fiji Whistler,TC013201
Pachycephala flavifrons,Samoan Whistler,TC007294
Pachycephala jacquinoti,Tongan Whistler,TC007295
Pachycephala implicata,Hooded Whistler,TC007298
Pachycephala citreogaster,Bismarck Whistler,TC013198
Pachycephala orioloides,Oriole Whistler,TC013205
Pachycephala feminina,Rennell Whistler,TC013199
Pachycephala fulvotincta,Rusty-breasted Whistler,TC013200
Pachycephala macrorhyncha,Yellow-throated Whistler,TC013202
Pachycephala mentalis,Black-chinned Whistler,TC013204
Pachycephala pectoralis,Golden Whistler,TC007289
Pachycephala melanura,Black-tailed Whistler,TC007292
Pachycephala tenebrosa,Morningbird,TC007315
Pachycephala modesta,Brown-backed Whistler,TC007281
Pachycephala lorentzi,Lorentz's Whistler,TC007291
Pachycephala aurea,Golden-backed Whistler,TC007299
Pachycephala philippinensis,Yellow-bellied Whistler,TC007285
Pachycephala hypoxantha,Bornean Whistler,TC007282
Pachycephala sulfuriventer,Sulphur-bellied Whistler,TC007283
Pachycephala cinerea,Mangrove Whistler,TC007276
Pachycephala albiventris,Green-backed Whistler,TC007277
Pachycephala homeyeri,White-vented Whistler,TC007278
Pachycephala phaionota,Island Whistler,TC007279
Pachycephala hyperythra,Rusty Whistler,TC007280
Pachycephala simplex,Gray Whistler,TC013208
Pachycephala arctitorquis,Wallacean Whistler,TC007301
Pachycephala griseonota,Drab Whistler,TC007300
Pachycephala leucogastra,White-bellied Whistler,TC007303
Pachycephala monacha,Black-headed Whistler,TC007302
Pachycephala rufiventris,Rufous Whistler,TC007304
Pachycephala lanioides,White-breasted Whistler,TC007305
Mohoua albicilla,Whitehead,TC007261
Mohoua ochrocephala,Yellowhead,TC007262
Mohoua novaeseelandiae,Pipipi,TC007263
Rhagologus leucostigma,Mottled Whistler,TC007269
Oreoica gutturalis,Crested Bellbird,TC007268
Aleadryas rufinucha,Rufous-naped Whistler,TC007272
Ornorectes cristatus,Crested Pitohui,TC007319
Lanius tigrinus,Tiger Shrike,TC007323
Lanius bucephalus,Bull-headed Shrike,TC007324
Lanius collurio,Red-backed Shrike,TC007325
Lanius phoenicuroides,Red-tailed Shrike,TC007327
Lanius isabellinus,Isabelline Shrike,TC013611
Lanius cristatus,Brown Shrike,TC007330
Lanius collurioides,Burmese Shrike,TC007334
Lanius gubernator,Emin's Shrike,TC007335
Lanius vittatus,Bay-backed Shrike,TC007337
Lanius schach,Long-tailed Shrike,TC007338
Lanius tephronotus,Gray-backed Shrike,TC007339
Lanius validirostris,Gray-capped Shrike,TC007340
Lanius ludovicianus,Loggerhead Shrike,TC007341
Lanius excubitor,Northern Shrike,TC007342
Lanius meridionalis,Southern Gray Shrike,TC007344
Lanius minor,Lesser Gray Shrike,TC007345
Lanius sphenocercus,Chinese Gray Shrike,TC007346
Lanius excubitoroides,Gray-backed Fiscal,TC007347
Lanius cabanisi,Long-tailed Fiscal,TC007348
Lanius dorsalis,Taita Fiscal,TC007349
Lanius somalicus,Somali Fiscal,TC007350
Lanius mackinnoni,Mackinnon's Shrike,TC007351
Lanius humeralis,Northern Fiscal,TC013146
Lanius collaris,Southern Fiscal,TC013145
Lanius souzae,Souza's Shrike,TC007336
Lanius newtoni,Newton's Fiscal,TC007353
Lanius nubicus,Masked Shrike,TC007354
Lanius senator,Woodchat Shrike,TC007355
Corvinella corvina,Yellow-billed Shrike,TC007357
Corvinella melanoleuca,Magpie Shrike,TC007358
Eurocephalus rueppelli,White-rumped Shrike,TC007359
Eurocephalus anguitimens,White-crowned Shrike,TC007360
Pteruthius rufiventer,Black-headed Shrike-Babbler,TC009806
Pteruthius flaviscapis,Pied Shrike-Babbler,TC009807
Pteruthius ripleyi,Himalayan Shrike-Babbler,TC012558
Pteruthius aeralatus,Blyth's Shrike-Babbler,TC012302
Pteruthius annamensis,Dalat Shrike-Babbler,TC012438
Pteruthius xanthochlorus,Green Shrike-Babbler,TC009808
Pteruthius melanotis,Black-eared Shrike-Babbler,TC009809
Pteruthius aenobarbus,Trilling Shrike-Babbler,TC009810
Pteruthius intermedius,Clicking Shrike-Babbler,TC012377
Erpornis zantholeuca,White-bellied Erpornis,TC009874
Vireo brevipennis,Slaty Vireo,TC007361
Vireo griseus,White-eyed Vireo,TC007362
Vireo crassirostris,Thick-billed Vireo,TC007365
Vireo pallens,Mangrove Vireo,TC007368
Vireo bairdi,Cozumel Vireo,TC007372
Vireo caribaeus,San Andres Vireo,TC007373
Vireo modestus,Jamaican Vireo,TC007374
Vireo gundlachii,Cuban Vireo,TC007375
Vireo latimeri,Puerto Rican Vireo,TC007376
Vireo nanus,Flat-billed Vireo,TC007377
Vireo bellii,Bell's Vireo,TC007378
Vireo atricapilla,Black-capped Vireo,TC007382
Vireo nelsoni,Dwarf Vireo,TC007383
Vireo vicinior,Gray Vireo,TC007384
Vireo osburni,Blue Mountain Vireo,TC007385
Vireo flavifrons,Yellow-throated Vireo,TC007386
Vireo plumbeus,Plumbeous Vireo,TC007387
Vireo cassinii,Cassin's Vireo,TC007390
Vireo solitarius,Blue-headed Vireo,TC007394
Vireo carmioli,Yellow-winged Vireo,TC007397
Vireo huttoni,Hutton's Vireo,TC007398
Vireo hypochryseus,Golden Vireo,TC007401
Vireo masteri,Choco Vireo,TC007402
Vireo gilvus,Warbling Vireo,TC007403
Vireo leucophrys,Brown-capped Vireo,TC007406
Vireo philadelphicus,Philadelphia Vireo,TC007407
Vireo olivaceus,Red-eyed Vireo,TC007408
Vireo gracilirostris,Noronha Vireo,TC007412
Vireo flavoviridis,Yellow-green Vireo,TC007413
Vireo altiloquus,Black-whiskered Vireo,TC007414
Vireo magister,Yucatan Vireo,TC007415
Hylophilus poicilotis,Rufous-crowned Greenlet,TC007417
Hylophilus amaurocephalus,Gray-eyed Greenlet,TC007418
Hylophilus thoracicus,Lemon-chested Greenlet,TC007419
Hylophilus semicinereus,Gray-chested Greenlet,TC007420
Hylophilus pectoralis,Ashy-headed Greenlet,TC007421
Hylophilus sclateri,Tepui Greenlet,TC007422
Hylophilus brunneiceps,Brown-headed Greenlet,TC007423
Hylophilus semibrunneus,Rufous-naped Greenlet,TC007424
Hylophilus hypoxanthus,Dusky-capped Greenlet,TC007425
Hylophilus muscicapinus,Buff-cheeked Greenlet,TC007426
Hylophilus flavipes,Scrub Greenlet,TC007427
Hylophilus olivaceus,Olivaceous Greenlet,TC007428
Hylophilus ochraceiceps,Tawny-crowned Greenlet,TC007429
Hylophilus aurantiifrons,Golden-fronted Greenlet,TC007432
Hylophilus decurtatus,Lesser Greenlet,TC007433
Vireolanius melitophrys,Chestnut-sided Shrike-Vireo,TC007437
Vireolanius pulchellus,Green Shrike-Vireo,TC007438
Vireolanius eximius,Yellow-browed Shrike-Vireo,TC007439
Vireolanius leucotis,Slaty-capped Shrike-Vireo,TC007440
Cyclarhis gujanensis,Rufous-browed Peppershrike,TC007441
Cyclarhis nigrirostris,Black-billed Peppershrike,TC007447
Pitohui dichrous,Hooded Pitohui,TC007316
Pitohui kirhocephalus,Variable Pitohui,TC007320
Oriolus melanotis,Timor Oriole,TC007448
Oriolus bouroensis,Buru Oriole,TC012338
Oriolus decipiens,Tanimbar Oriole,TC012339
Oriolus forsteni,Seram Oriole,TC007450
Oriolus phaeochromus,Halmahera Oriole,TC007451
Oriolus szalayi,Brown Oriole,TC007452
Oriolus sagittatus,Olive-backed Oriole,TC007453
Oriolus flavocinctus,Green Oriole,TC007454
Oriolus xanthonotus,Dark-throated Oriole,TC007455
Oriolus albiloris,White-lored Oriole,TC007456
Oriolus steerii,Philippine Oriole,TC007457
Oriolus isabellae,Isabela Oriole,TC007458
Oriolus oriolus,Eurasian Golden Oriole,TC007459
Oriolus kundoo,Indian Golden Oriole,TC012572
Oriolus auratus,African Golden Oriole,TC007460
Oriolus chinensis,Black-naped Oriole,TC007461
Oriolus tenuirostris,Slender-billed Oriole,TC007462
Oriolus chlorocephalus,Green-headed Oriole,TC007463
Oriolus crassirostris,Sao Tome Oriole,TC007464
Oriolus brachyrhynchus,Western Black-headed Oriole,TC007465
Oriolus monacha,Dark-headed Oriole,TC007466
Oriolus larvatus,African Black-headed Oriole,TC007467
Oriolus percivali,Black-tailed Oriole,TC007468
Oriolus nigripennis,Black-winged Oriole,TC007469
Oriolus xanthornus,Black-hooded Oriole,TC007470
Oriolus hosii,Black Oriole,TC007471
Oriolus cruentus,Black-and-crimson Oriole,TC007472
Oriolus traillii,Maroon Oriole,TC007473
Oriolus mellianus,Silver Oriole,TC007474
Sphecotheres hypoleucus,Wetar Figbird,TC007476
Sphecotheres viridis,Green Figbird,TC007477
Sphecotheres vieilloti,Australasian Figbird,TC007478
Turnagra capensis,Piopio,TC007888
Dicrurus ludwigii,Square-tailed Drongo,TC007480
Dicrurus atripennis,Shining Drongo,TC007481
Dicrurus adsimilis,Fork-tailed Drongo,TC007482
Dicrurus modestus,Velvet-mantled Drongo,TC007483
Dicrurus aldabranus,Aldabra Drongo,TC007484
Dicrurus fuscipennis,Comoro Drongo,TC007485
Dicrurus forficatus,Crested Drongo,TC007486
Dicrurus waldenii,Mayotte Drongo,TC007487
Dicrurus macrocercus,Black Drongo,TC007488
Dicrurus leucophaeus,Ashy Drongo,TC007489
Dicrurus caerulescens,White-bellied Drongo,TC007491
Dicrurus annectans,Crow-billed Drongo,TC007492
Dicrurus aeneus,Bronzed Drongo,TC007493
Dicrurus remifer,Lesser Racket-tailed Drongo,TC007494
Dicrurus hottentottus,Hair-crested Drongo,TC007495
Dicrurus balicassius,Balicassiao,TC007496
Dicrurus montanus,Sulawesi Drongo,TC007497
Dicrurus sumatranus,Sumatran Drongo,TC007498
Dicrurus densus,Wallacean Drongo,TC007499
Dicrurus megarhynchus,Ribbon-tailed Drongo,TC007500
Dicrurus bracteatus,Spangled Drongo,TC007501
Dicrurus menagei,Tablas Drongo,TC007502
Dicrurus andamanensis,Andaman Drongo,TC007503
Dicrurus paradiseus,Greater Racket-tailed Drongo,TC007504
Dicrurus lophorinus,Sri Lanka Drongo,TC012805
Chaetorhynchus papuensis,Pygmy Drongo-Fantail,TC007479
Lamprolia victoriae,Silktail,TC007650
Rhipidura atra,Black Fantail,TC007527
Rhipidura nigrocinnamomea,Black-and-cinnamon Fantail,TC007510
Rhipidura superciliaris,Mindanao Blue-Fantail,TC007507
Rhipidura samarensis,Visayan Blue-Fantail,TC013288
Rhipidura sauli,Tablas Fantail,TC013289
Rhipidura albiventris,Visayan Fantail,TC013287
Rhipidura cyaniceps,Blue-headed Fantail,TC007508
Rhipidura perlata,Spotted Fantail,TC007517
Rhipidura fuscorufa,Cinnamon-tailed Fantail,TC007520
Rhipidura cockerelli,Cockerell's Fantail,TC007521
Rhipidura rufiventris,Northern Fantail,TC007515
Rhipidura diluta,Brown-capped Fantail,TC007519
Rhipidura threnothorax,Sooty Thicket-Fantail,TC007524
Rhipidura maculipectus,Black Thicket-Fantail,TC007525
Rhipidura leucothorax,White-bellied Thicket-Fantail,TC007526
Rhipidura leucophrys,Willie-wagtail,TC007518
Rhipidura javanica,Malaysian Pied-Fantail,TC007516
Rhipidura nigritorquis,Philippine Pied-Fantail,TC013630
Rhipidura albicollis,White-throated Fantail,TC007511
Rhipidura albogularis,Spot-breasted Fantail,TC007512
Rhipidura phoenicura,Rufous-tailed Fantail,TC007509
